txn_id,timestamp,sender_bank,receiver_bank,upi_app,amount,status,merchant,city,category
UPI000001,2026-01-05 15:57:00,PNB,PNB,AmazonPay,1260.29,SUCCESS,Kanda Ltd,Nadiad,Transfer
UPI000002,2026-01-02 04:59:00,Kotak,HDFC,AmazonPay,1499.56,REVERSED,"Raja, Soni and Dhar",Sagar,Transport
UPI000003,2026-01-08 06:23:00,PNB,Axis,Paytm,13916.75,PENDING,Tiwari-Khatri,Gulbarga,Transport
UPI000004,2026-01-17 08:06:00,BOB,ICICI,AmazonPay,38177.07,PENDING,Choudhary-Bansal,Aligarh,Food
UPI000005,2026-01-26 02:58:00,ICICI,BOB,AmazonPay,26816.04,PENDING,Baria Ltd,Mirzapur,Transfer
UPI000006,2026-01-04 15:09:00,BOB,HDFC,PhonePe,3487.06,REVERSED,Wable-Chakraborty,Udaipur,Shopping
UPI000007,2026-01-13 03:36:00,PNB,PNB,PhonePe,41707.18,FAILED,"Oommen, Mandal and Yohannan",Mahbubnagar,Transfer
UPI000008,2026-01-30 03:03:00,PNB,Kotak,GPay,8178.49,PENDING,Virk-Dutta,Solapur,Food
UPI000009,2026-01-10 14:26:00,Kotak,PNB,Paytm,1614.69,FAILED,"Keer, Bhavsar and Ghose",Chapra,Bills
UPI000010,2026-01-12 05:22:00,PNB,Kotak,AmazonPay,45728.23,PENDING,Gala Ltd,Tezpur,Transfer
UPI000011,2026-01-07 07:05:00,Kotak,Axis,PhonePe,29180.81,SUCCESS,Gala-Deep,Kochi,Food
UPI000012,2026-01-18 12:16:00,Axis,Kotak,BHIM,8007.5,PENDING,"Chacko, Char and Guha",Gurgaon,Transfer
UPI000013,2026-01-25 10:30:00,BOB,ICICI,Paytm,583.94,SUCCESS,"Sampath, Behl and Randhawa",Morbi,Shopping
UPI000014,2026-01-12 23:41:00,Kotak,BOB,GPay,22691.65,SUCCESS,Dada-Pingle,Bhiwandi,Shopping
UPI000015,2026-01-08 08:27:00,Kotak,BOB,AmazonPay,25388.07,SUCCESS,Shenoy-Hegde,Pimpri-Chinchwad,Transfer
UPI000016,2026-01-14 23:53:00,HDFC,SBI,GPay,983.64,SUCCESS,"Garg, Aggarwal and Sachar",Madurai,Food
UPI000017,2026-01-06 17:21:00,HDFC,PNB,BHIM,40803.0,FAILED,"Naik, Dewan and Grewal",Thoothukudi,Shopping
UPI000018,2026-01-10 03:42:00,PNB,ICICI,BHIM,30333.63,PENDING,Lad-De,Sri Ganganagar,Bills
UPI000019,2026-01-01 22:58:00,Kotak,Kotak,GPay,22579.79,FAILED,Nanda Inc,Vijayawada,Food
UPI000020,2026-01-16 00:54:00,SBI,Kotak,GPay,31558.84,PENDING,"Raman, Mital and Banerjee",Bally,Bills
UPI000021,2026-01-22 12:16:00,HDFC,BOB,BHIM,6624.27,REVERSED,Varty-Saraf,Vasai-Virar,Transport
UPI000022,2026-01-03 11:10:00,PNB,PNB,PhonePe,32952.55,SUCCESS,"Behl, Sharaf and Ramaswamy",Mirzapur,Bills
UPI000023,2026-01-25 09:46:00,Axis,HDFC,BHIM,40031.62,FAILED,Kunda Group,Mirzapur,Shopping
UPI000024,2026-01-26 01:06:00,SBI,SBI,AmazonPay,43725.55,SUCCESS,Talwar LLC,Morbi,Food
